,user,eigen_centrality,page_centrality,engagement_comments,engagement_likes,authenticity,interaction
128,lamaisonduzerodechet,0.0,6.916388226519836e-06,0.003592531316473647,0.052493739700132436,0.7475290073055436,0.017945221290633265
129,yoo.paris,0.04387145327632574,0.0,0.00015142448692300294,0.08763404741820771,0.5646888624434823,0.029333143448196364
130,happy_family_rossi,0.0,6.915955077455167e-06,0.04402337615529182,0.21187515139363514,0.6886370147543333,0.2113582106556022
131,melvitaofficial,0.040935065335583214,6.415274609024952e-06,0.0004341047467044984,0.03388953339970262,0.7101656878193193,0.010841868320749471
132,paulinetrrs,0.0,6.904836809303723e-06,0.01629202083225684,0.022424375881914777,0.6958052810008118,0.0417837834166719
133,bohogreenmakeup,0.04093505544152567,6.439377335486462e-06,0.024272579106956908,0.09253915434664864,0.5541230960225374,0.040964187362497094
134,stellaetsuzie,0.029964844537418253,6.904793257790566e-06,0.0011495775072745266,0.18480642742884085,0.6270352862531634,0.007510096603965426
135,grenadinerp,0.040935038951429754,0.0,0.020161398717197403,0.17836436286337692,0.5958852599914053,0.018740813379320355
136,brunomaltor,0.0,6.9028052740490395e-06,0.0033961306985700744,0.012597494858433719,0.5327901924270639,0.10344439556612066
137,bio_c_bon,0.04093503675275028,0.0,0.0027656162342509206,0.08544900811293435,0.7072240954385347,0.01584580618064406
138,franceinfo,0.0,6.89473646391171e-06,9.586589076039531e-05,0.6659934297025877,0.7151324899413697,0.011568660712756432
139,fleurancenature,0.0409350334547311,0.0,0.011270143693581751,0.09826556778451705,0.6428997755813399,0.03413555689584699
140,madmoizelledotcom,0.02595269147446696,6.890912809630997e-06,0.00012481218909664803,181.6673255678252,0.4696139521558517,0.021246044947131653
141,lespetiteschosesdefanny,0.040935029057372195,0.0,0.005351615609360988,0.1405650077561902,0.7226280857565773,0.02625495833493859
142,ely_killeuse,0.0,6.870619053029695e-06,0.00014674661452878228,0.06879145704494417,0.6193402926992313,0.013411068557319838
143,cosmebio,0.04093502905737219,0.0,0.011642480352643756,0.16117164608680773,0.5846702955641504,0.05437566989865899
144,pompiers_paris,0.0,6.8699290773951176e-06,0.0042884545862437555,0.023930531790586632,0.6982106193000048,0.14167487924136649
145,milkdecoration_magazine,0.04093266496392781,6.027530843855055e-06,0.0007484635973864618,0.013264771145325439,0.6982106193000048,0.012110445933288916
